"region","year","input_group","total_adjusted_value"
"GJ",2020,"coal",0.370632162162162
"GJ",2020,"electricity",0.343607326007326
"GJ",2020,"gas",0.176420712797963
"GJ",2020,"refined liquids",0.460643649442149
"GJ",2025,"H2 enduse",0.0435186592
"GJ",2025,"biomass",0.22343815334767
"GJ",2025,"coal",0.779834919262162
"GJ",2025,"electricity",0.408670788475323
"GJ",2025,"gas",0.452722930664963
"GJ",2025,"refined liquids",0.436414288204359
"GJ",2030,"H2 enduse",0.0733724422
"GJ",2030,"biomass",0.33028185660067
"GJ",2030,"coal",0.955659852162162
"GJ",2030,"electricity",0.551098331431168
"GJ",2030,"gas",0.604572897301964
"GJ",2030,"refined liquids",0.492800440419919
"GJ",2035,"H2 enduse",0.1123572353
"GJ",2035,"biomass",0.44839762479167
"GJ",2035,"coal",1.16584995216216
"GJ",2035,"electricity",0.679170352860013
"GJ",2035,"gas",0.787439685559963
"GJ",2035,"refined liquids",0.577692415424239
"GJ",2040,"H2 enduse",0.1594882296
"GJ",2040,"biomass",0.56327374781367
"GJ",2040,"coal",1.37609275216216
"GJ",2040,"electricity",0.87938706284121
"GJ",2040,"gas",1.03487378321796
"GJ",2040,"refined liquids",0.555397288260339
"GJ",2045,"H2 enduse",0.2141995105
"GJ",2045,"biomass",0.67940428018967
"GJ",2045,"coal",1.56039845216216
"GJ",2045,"electricity",1.09419716102401
"GJ",2045,"gas",1.28103492206896
"GJ",2045,"refined liquids",0.511989132649439
"GJ",2050,"H2 enduse",0.277878807
"GJ",2050,"biomass",0.721590048992
"GJ",2050,"coal",1.74304185216216
"GJ",2050,"electricity",1.61350066084301
"GJ",2050,"gas",1.30388660714896
"GJ",2050,"refined liquids",0.381887157437455
"GJ",2055,"H2 enduse",0.4934386332
"GJ",2055,"biomass",0.926585292909
"GJ",2055,"coal",1.129470545197
"GJ",2055,"electricity",2.69259473402001
"GJ",2055,"gas",1.46817373700824
"GJ",2055,"refined liquids",0.30433095145707
"GJ",2060,"H2 enduse",1.036761853
"GJ",2060,"biomass",0.4878177343942
"GJ",2060,"coal",0.6907768415274
"GJ",2060,"electricity",3.74098037830001
"GJ",2060,"gas",1.27654654497645
"GJ",2060,"refined liquids",0.172287880316804
"GJ",2065,"H2 enduse",2.000453637
"GJ",2065,"biomass",0.007603396306
"GJ",2065,"coal",0.3446211817291
"GJ",2065,"electricity",4.95915887984401
"GJ",2065,"gas",0.384591594226987
"GJ",2065,"refined liquids",0.0696110982955777
"GJ",2070,"H2 enduse",2.159938477
"GJ",2070,"biomass",0.000219646
"GJ",2070,"coal",0.0102081
"GJ",2070,"electricity",5.37377767639701
"GJ",2070,"gas",0.05897987572921
"GJ",2070,"refined liquids",0.00209367732992971
"HP",2020,"H2 enduse",0.0003755229067
"HP",2020,"biomass",0.0439175257731959
"HP",2020,"coal",0.0295774324324324
"HP",2020,"electricity",0.0318583638583638
"HP",2020,"gas",0
"HP",2020,"refined liquids",0.0386646077497032
"HP",2025,"H2 enduse",0.0024956256
"HP",2025,"biomass",0.0476103800287299
"HP",2025,"coal",0.00529599754243243
"HP",2025,"electricity",0.0619474470848339
"HP",2025,"gas",0.006890137124
"HP",2025,"refined liquids",0.0514008551779031
"HP",2030,"H2 enduse",0.00387758381
"HP",2030,"biomass",0.0437419107788639
"HP",2030,"coal",0.00553082580243243
"HP",2030,"electricity",0.0746055870111439
"HP",2030,"gas",0.019624341874
"HP",2030,"refined liquids",0.0562277677890031
"HP",2035,"H2 enduse",0.00552424867
